id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2016-1261,2016-05-24,000001,Vente,70000,23,,AV DE MACON,2400,01000,01053,Bourg-en-Bresse,01,,,01053000AB0116,,,18,,,,,,,,,,1,2,Appartement,73,3,,,,,,5.219908,46.209365
2016-1261,2016-05-24,000001,Vente,70000,23,,AV DE MACON,2400,01000,01053,Bourg-en-Bresse,01,,,01053000AB0116,,,14,,4,79.83,8,,,,,,3,2,Appartement,71,2,,,,,,5.219908,46.209365
2016-1262,2016-06-01,000001,Vente,180500,374,,RUE DU BIEF GODARD,0017,01290,01134,Crottet,01,,,011340000C1198,,,,,,,,,,,,,0,1,Maison,143,4,S,sols,,,349,,
2016-1262,2016-06-01,000001,Vente,180500,,,BIEF GODARD,B005,01290,01134,Crottet,01,,,011340000C1689,,,,,,,,,,,,,0,,,,,S,sols,,,254,,
2016-1262,2016-06-01,000001,Vente,180500,,,BIEF GODARD,B005,01290,01134,Crottet,01,,,011340000C1739,,,,,,,,,,,,,0,,,,,S,sols,,,14,,
2016-1262,2016-06-01,000001,Vente,180500,,,BIEF GODARD,B005,01290,01134,Crottet,01,,,011340000C2081,,,,,,,,,,,,,0,,,,,S,sols,,,106,,
2016-1263,2016-05-25,000001,Vente,77000,170,,CHE DES BRETANDIERES,0027,01440,01451,Viriat,01,,,01451000AA0243,,,,,,,,,,,,,0,1,Maison,74,2,AB,terrains a bâtir,,,528,5.21215,46.270364
2016-1263,2016-05-25,000001,Vente,77000,,,CURTARINGE,B096,01440,01451,Viriat,01,,,01451000AA0252,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,187,5.212159,46.270254
2016-1264,2016-06-10,000001,Vente,5244.5,,,AU BOSSU,B009,01290,01203,Laiz,01,,,012030000C0649,,,,,,,,,,,,,0,,,,,T,terres,,,9660,4.918613,46.250145
2016-1264,2016-06-10,000001,Vente,5244.5,,,TERRES CHANNE,B120,01290,01203,Laiz,01,,,012030000C0799,,,,,,,,,,,,,0,,,,,P,prés,,,5,4.91681,46.247952
2016-1264,2016-06-10,000001,Vente,5244.5,,,TERRES CHANNE,B120,01290,01203,Laiz,01,,,012030000C0888,,,,,,,,,,,,,0,,,,,T,terres,,,442,4.915931,46.247777
2016-1264,2016-06-10,000001,Vente,5244.5,,,TERRES CHANNE,B120,01290,01203,Laiz,01,,,012030000C0890,,,,,,,,,,,,,0,,,,,T,terres,,,180,4.916226,46.247741
2016-1264,2016-06-10,000001,Vente,5244.5,,,TERRES CHANNE,B120,01290,01203,Laiz,01,,,012030000C0892,,,,,,,,,,,,,0,,,,,P,prés,,,10691,4.916488,46.248625
2016-1265,2016-05-24,000001,Vente,260000,,,CHAMONAL,B073,01851,01232,Marboz,01,,,01232000ZI0012,,,,,,,,,,,,,0,,,,,P,prés,,,11440,5.271118,46.379948
2016-1265,2016-05-24,000001,Vente,260000,,,LES COMMUNES,B017,01270,01296,Pirajoux,01,,,012960000A0182,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,750,5.276319,46.388286
2016-1265,2016-05-24,000001,Vente,260000,,,LES BLAISOUX,B006,01270,01296,Pirajoux,01,,,01296000ZD0134,,,,,,,,,,,,,0,,,,,T,terres,,,410,5.265804,46.381991
2016-1265,2016-05-24,000001,Vente,260000,,,LES COMMUNES,B017,01270,01296,Pirajoux,01,,,01296000ZE0143,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,1078,5.271493,46.386081
